Title,Year,Duration,Genre,Certificate,Ratings,Votes
Mean Girls,(2004),97 min,"
Comedy            ",PG-13,7.0,"357,664"
Big Mouth,(2017– ),30 min,"
Animation, Comedy, Romance            ",None,7.9,"63,654"
The Haunted Mansion,(2003),99 min,"
Comedy, Family, Fantasy            ",PG,5.1,"47,085"
Coco,(I) (2017),105 min,"
Animation, Adventure, Comedy            ",PG,8.4,"437,540"
Maya and the Three,(2021),30 min,"
Animation, Action, Adventure            ",None,8.3,"1,188"
Married with Children,(1987–1997),22 min,"
Comedy            ",None,8.0,"99,984"
Jumanji: The Next Level,(2019),123 min,"
Action, Adventure, Comedy            ",PG-13,6.7,"217,538"
That '70s Show,(1998–2006),22 min,"
Comedy, Drama, Romance            ",None,8.0,"160,606"
Charlie's Angels,(2019),118 min,"
Action, Adventure, Comedy            ",PG-13,4.9,"65,684"
Tacoma FD,(2019– ),30 min,"
Comedy            ",None,8.1,"4,072"
Chuck,(2007–2012),43 min,"
Action, Comedy, Drama            ",None,8.2,"132,080"
The Big Lebowski,(1998),117 min,"
Comedy, Crime, Sport            ",R,8.1,"769,604"
Lady Bird,(2017),94 min,"
Comedy, Drama            ",R,7.4,"263,313"
The Nanny,(1993–1999),22 min,"
Comedy, Family, Romance            ",None,7.0,"40,851"
Bosom Buddies,(1980–1982),30 min,"
Comedy            ",None,6.7,"3,646"
Silicon Valley,(2014–2019),28 min,"
Comedy            ",None,8.5,"136,229"
Du Sie Er & Wir,(2021),88 min,"
Comedy, Drama, Romance            ",None,5.3,573
Naruto,(2002–2007),24 min,"
Animation, Action, Adventure            ",None,8.3,"84,571"
Scooby-Doo,(2002),89 min,"
Adventure, Comedy, Family            ",PG,5.2,"105,930"
Ich bin dein Mensch,(2021),108 min,"
Comedy, Romance, Sci-Fi            ",R,7.1,"2,112"
The Munsters,(1964–1966),30 min,"
Comedy, Family, Fantasy            ",None,7.8,"13,778"
PAW Patrol: The Movie,(2021),86 min,"
Animation, Adventure, Comedy            ",G,6.2,"4,154"
Hacks,(2021– ),30 min,"
Comedy, Drama            ",None,8.2,"13,155"
"Doogie Kamealoha, M.D.",(2021– ),30 min,"
Comedy, Drama, Family            ",None,5.9,"1,199"
Dazed and Confused,(1993),102 min,"
Comedy            ",R,7.6,"174,820"
Cheers,(1982–1993),22 min,"
Comedy, Drama            ",None,7.9,"51,062"
The Holiday,(2006),136 min,"
Comedy, Romance            ",PG-13,6.9,"262,996"
Kota Factory,(2019–2021),45 min,"
Comedy, Drama            ",None,9.2,"62,810"
Pitch Perfect,(2012),112 min,"
Comedy, Music, Romance            ",PG-13,7.1,"290,906"
Futurama,(1999–2013),22 min,"
Animation, Comedy, Sci-Fi            ",None,8.4,"222,033"
Retfærdighedens ryttere,(2020),116 min,"
Action, Comedy, Drama            ",None,7.6,"30,431"
Men in Black II,(2002),88 min,"
Action, Adventure, Comedy            ",PG-13,6.2,"357,610"
Hotel Transylvania,(2012),91 min,"
Animation, Adventure, Comedy            ",PG,7.1,"238,312"
He's All That,(2021),88 min,"
Comedy, Romance            ",None,4.3,"19,957"
Barry,(2018– ),30 min,"
Action, Comedy, Crime            ",None,8.3,"54,864"
Scott Pilgrim vs. the World,(2010),112 min,"
Action, Comedy, Fantasy            ",PG-13,7.5,"403,887"
Guardians of the Galaxy Vol. 3,(2023),None,"
Action, Adventure, Comedy            ",None,None,None
The Hangover,(2009),100 min,"
Comedy            ",R,7.7,"746,270"
King of the Hill,(1997–2010),30 min,"
Animation, Comedy, Drama            ",None,7.3,"48,645"
Resident Alien,(2021– ),44 min,"
Comedy, Drama, Mystery            ",None,8.2,"25,752"
