Title,Year,Duration,Genre,Certificate,Ratings,Votes
The School of Rock,(2003),109 min,"
Comedy, Music            ",PG-13,7.1,"292,562"
United States of Al,(2021– ),30 min,"
Comedy            ",None,6.2,"1,776"
La La Land,(2016),128 min,"
Comedy, Drama, Music            ",PG-13,8.0,"541,352"
An American Werewolf in London,(1981),97 min,"
Comedy, Horror            ",None,7.5,"100,441"
Bride of Chucky,(1998),89 min,"
Comedy, Horror            ",R,5.5,"55,819"
Mars Attacks!,(1996),106 min,"
Comedy, Sci-Fi            ",PG-13,6.3,"218,869"
Dolittle,(2020),101 min,"
Adventure, Comedy, Family            ",PG,5.6,"55,798"
Ginny & Georgia,(2021– ),None,"
Comedy, Drama            ",None,7.5,"38,884"
Everybody Loves Raymond,(1996–2005),22 min,"
Comedy            ",None,7.1,"67,063"
Doc Martin,(2004–2022),46 min,"
Comedy, Drama, Romance            ",None,8.3,"14,214"
A.P. Bio,(2018– ),21 min,"
Comedy            ",None,7.4,"12,774"
Best Sellers,(2021),102 min,"
Comedy, Drama            ",None,6.1,"1,865"
Insecure,(2016–2021),30 min,"
Comedy, Romance            ",None,7.9,"14,791"
Gravity Falls,(2012–2016),23 min,"
Animation, Short, Action            ",None,8.9,"87,021"
Emily in Paris,(2020– ),30 min,"
Comedy, Drama, Romance            ",None,7.0,"59,809"
Love and Monsters,(I) (2020),109 min,"
Action, Adventure, Comedy            ",PG-13,7.0,"110,364"
10 Things I Hate About You,(1999),97 min,"
Comedy, Drama, Romance            ",PG-13,7.3,"316,115"
Scary Movie 2,(2001),83 min,"
Comedy            ",R,5.3,"155,766"
Cars,(2006),117 min,"
Animation, Adventure, Comedy            ",None,7.1,"389,820"
Atlanta,(2016– ),30 min,"
Comedy, Drama, Music            ",None,8.6,"58,668"
Miracle Workers,(2019– ),22 min,"
Comedy, Drama, Fantasy            ",None,7.1,"12,344"
Will & Grace,(1998–2020),22 min,"
Comedy, Romance            ",None,7.2,"53,306"
Bewitched,(1964–1972),25 min,"
Comedy, Family, Fantasy            ",None,7.6,"19,775"
National Lampoon's Animal House,(1978),109 min,"
Comedy            ",None,7.5,"116,802"
Crazy Rich Asians,(2018),120 min,"
Comedy, Drama, Romance            ",PG-13,6.9,"157,049"
The Truman Show,(1998),103 min,"
Comedy, Drama            ",PG,8.1,"995,644"
The Kominsky Method,(2018–2021),30 min,"
Comedy, Drama            ",None,8.2,"35,943"
Hotel Transylvania 3: Summer Vacation,(2018),97 min,"
Animation, Adventure, Comedy            ",PG,6.3,"64,821"
Vivo,(I) (2021),95 min,"
Animation, Adventure, Comedy            ",PG,6.7,"13,560"
The Love Boat,(1977–1987),60 min,"
Comedy, Drama, Romance            ",None,6.1,"10,441"
Dark Shadows,(2012),113 min,"
Comedy, Fantasy, Horror            ",PG-13,6.2,"256,275"
My Cousin Vinny,(1992),120 min,"
Comedy, Crime            ",R,7.6,"115,398"
Gremlins,(1984),106 min,"
Comedy, Fantasy, Horror            ",None,7.3,"209,158"
Mr. & Mrs. Smith,(2005),120 min,"
Action, Comedy, Crime            ",PG-13,6.5,"469,551"
The Intouchables,(2011),112 min,"
Biography, Comedy, Drama            ",R,8.5,"801,571"
Scream Queens,(2015–2016),45 min,"
Comedy, Horror, Mystery            ",None,7.1,"38,010"
Captain Fantastic,(2016),118 min,"
Comedy, Drama            ",R,7.9,"206,540"
Upload,(2020– ),296 min,"
Comedy, Mystery, Sci-Fi            ",None,8.0,"48,944"
Shaun of the Dead,(2004),99 min,"
Comedy, Horror            ",R,7.9,"533,405"
Seven Brides for Seven Brothers,(1954),102 min,"
Comedy, Drama, Musical            ",None,7.4,"23,755"
Coming to America,(1988),117 min,"
Comedy, Romance            ",None,7.1,"199,742"
Jane the Virgin,(2014–2019),60 min,"
Comedy            ",None,7.8,"43,759"
W jak morderstwo,(2021),105 min,"
Comedy, Drama, Thriller            ",None,5.0,609
Step Brothers,(2008),98 min,"
Comedy            ",R,6.9,"279,877"
Not Another Teen Movie,(2001),89 min,"
Comedy            ",R,5.7,"101,978"
L'iniziazione,(1986),95 min,"
Comedy            ",None,5.8,"1,516"
The Bold Type,(2017–2021),45 min,"
Comedy, Drama            ",None,7.9,"17,915"
Saved by the Bell,(1989–1992),30 min,"
Comedy, Family, Romance            ",None,7.0,"33,822"
3rd Rock from the Sun,(1996–2001),60 min,"
Comedy, Family, Sci-Fi            ",None,7.7,"49,830"
The Duff,(2015),101 min,"
Comedy, Romance            ",PG-13,6.5,"89,453"
What Happens in Vegas,(2008),99 min,"
Comedy, Romance            ",PG-13,6.1,"170,376"
Doctor,(2021),148 min,"
Action, Comedy, Crime            ",None,8.5,"4,659"
BlacKkKlansman,(2018),135 min,"
Biography, Comedy, Crime            ",R,7.5,"243,435"
Megamind,(2010),95 min,"
Animation, Action, Comedy            ",PG,7.3,"242,580"
Dead Poets Society,(1989),128 min,"
Comedy, Drama            ",None,8.1,"452,063"
The Terminal,(2004),128 min,"
Comedy, Drama, Romance            ",PG-13,7.4,"430,959"
Younger,(2015–2021),22 min,"
Comedy, Romance            ",None,7.8,"21,209"
Derry Girls,(2018– ),30 min,"
Comedy            ",None,8.4,"25,973"
The Royal Tenenbaums,(2001),110 min,"
Comedy, Drama            ",R,7.6,"277,947"
Happy Days,(1974–1984),30 min,"
Comedy, Family, Music            ",None,7.4,"17,578"
"Three Billboards Outside Ebbing, Missouri",(2017),115 min,"
Comedy, Crime, Drama            ",R,8.1,"469,617"
Baywatch,(2017),116 min,"
Action, Comedy, Crime            ",R,5.5,"175,190"
The Life Aquatic with Steve Zissou,(2004),119 min,"
Action, Adventure, Comedy            ",R,7.3,"187,954"
Willy's Wonderland,(2021),88 min,"
Action, Comedy, Horror            ",None,5.5,"21,851"
Palm Springs,(2020),90 min,"
Comedy, Fantasy, Mystery            ",R,7.4,"134,500"
Sonic the Hedgehog,(2020),99 min,"
Action, Adventure, Comedy            ",PG,6.5,"107,565"
The Righteous Gemstones,(2019– ),36 min,"
Comedy, Drama            ",None,8.0,"14,940"
Binsenjo,(2021– ),80 min,"
Comedy, Crime, Romance            ",None,8.5,"10,726"
Death Becomes Her,(1992),104 min,"
Comedy, Fantasy, Horror            ",PG-13,6.6,"112,474"
Turner & Hooch,(2021– ),None,"
Comedy, Drama, Family            ",None,6.6,"2,808"
The Cleaner,(2021– ),30 min,"
Comedy            ",None,7.0,"1,820"
Ocean's Eight,(2018),110 min,"
Action, Comedy, Crime            ",PG-13,6.3,"202,833"
Blazing Saddles,(1974),93 min,"
Comedy, Western            ",None,7.7,"132,316"
Tommy Boy,(1995),97 min,"
Adventure, Comedy            ",PG-13,7.1,"81,867"
Teen Wolf,(1985),91 min,"
Comedy, Fantasy, Romance            ",None,6.1,"49,985"
Office Space,(1999),89 min,"
Comedy            ",R,7.7,"253,230"
Californication,(2007–2014),28 min,"
Comedy, Drama            ",None,8.3,"175,670"
Ghostbusters II,(1989),108 min,"
Action, Comedy, Fantasy            ",None,6.6,"191,486"
Elvira: Mistress of the Dark,(1988),96 min,"
Comedy, Horror            ",None,6.6,"17,039"
Army of Darkness,(1992),81 min,"
Comedy, Horror            ",R,7.5,"169,614"
Zombieland,(2009),88 min,"
Adventure, Comedy, Horror            ",R,7.6,"545,229"
Frozen,(I) (2013),102 min,"
Animation, Adventure, Comedy            ",PG,7.4,"594,331"
Newhart,(1982–1990),30 min,"
Comedy            ",None,7.7,"6,316"
Grown Ups 2,(2013),101 min,"
Comedy            ",PG-13,5.4,"147,106"
Happy Endings,(2011–2020),22 min,"
Comedy, Romance            ",None,7.7,"36,617"
Vacation Friends,(2021),103 min,"
Adventure, Comedy            ",R,6.3,"15,564"
Annie,(1982),126 min,"
Comedy, Drama, Family            ",None,6.6,"42,595"
Every Which Way but Loose,(1978),114 min,"
Action, Comedy            ",None,6.3,"26,164"
The Fresh Prince of Bel-Air,(1990–1996),22 min,"
Comedy            ",None,7.9,"127,285"
Marriage Story,(2019),137 min,"
Comedy, Drama, Romance            ",R,7.9,"275,983"
Zootopia,(2016),108 min,"
Animation, Adventure, Comedy            ",PG,8.0,"461,407"
Secretary,(2002),107 min,"
Comedy, Drama, Romance            ",R,7.0,"88,210"
Boy Meets World,(1993–2000),23 min,"
Comedy, Drama, Family            ",None,8.0,"40,734"
Aquaman: King of Atlantis,(2021– ),None,"
Animation, Short, Action            ",None,5.8,330
Aladdin,(2019),128 min,"
Adventure, Comedy, Family            ",PG,6.9,"246,406"
The Dead Don't Die,(2019),104 min,"
Comedy, Fantasy, Horror            ",R,5.5,"71,041"
True Lies,(1994),141 min,"
Action, Comedy, Thriller            ",R,7.2,"248,440"
Monster Family 2,(2021),103 min,"
Animation, Adventure, Comedy            ",PG,4.6,171
Dickinson,(2019–2021),30 min,"
Biography, Comedy, Drama            ",None,7.4,"8,882"
Army of Thieves,(2021),127 min,"
Action, Comedy, Crime            ",None,6.4,"12,679"
Fighting with My Family,(2019),108 min,"
Biography, Comedy, Drama            ",PG-13,7.1,"75,007"
I Care a Lot,(2020),118 min,"
Comedy, Crime, Thriller            ",R,6.3,"116,677"
Kingsman: The Golden Circle,(2017),141 min,"
Action, Adventure, Comedy            ",R,6.7,"294,630"
The League,(I) (2009–2015),22 min,"
Comedy, Sport            ",None,8.2,"46,035"
Galaxy Quest,(1999),102 min,"
Adventure, Comedy, Sci-Fi            ",PG,7.3,"157,565"
Matilda,(1996),98 min,"
Comedy, Family, Fantasy            ",PG,6.9,"139,628"
Parenthood,(2010–2015),60 min,"
Comedy, Drama            ",None,8.2,"32,942"
Malèna,(2000),108 min,"
Comedy, Drama, Romance            ",R,7.5,"97,087"
The Babysitter: Killer Queen,(2020),101 min,"
Comedy, Horror            ",None,5.8,"33,868"
Shameless,(2004–2013),90 min,"
Comedy, Crime, Drama            ",None,8.0,"15,992"
The Love Witch,(2016),120 min,"
Comedy, Horror, Romance            ",None,6.2,"14,903"
La vita è bella,(1997),116 min,"
Comedy, Drama, Romance            ",PG-13,8.6,"655,595"
Tremors,(1990),96 min,"
Comedy, Horror            ",None,7.1,"129,820"
Little Italy,(2018),102 min,"
Comedy, Romance            ",R,5.7,"13,267"
Serendipity,(2001),90 min,"
Comedy, Romance            ",PG-13,6.9,"108,380"
Idiocracy,(2006),84 min,"
Adventure, Comedy, Sci-Fi            ",R,6.6,"153,853"
Ant-Man,(2015),117 min,"
Action, Adventure, Comedy            ",PG-13,7.3,"611,647"
Ratatouille,(2007),111 min,"
Animation, Adventure, Comedy            ",G,8.0,"673,067"
One Punch Man: Wanpanman,(2015–2019),24 min,"
Animation, Action, Comedy            ",None,8.8,"134,586"
Hairspray,(2007),117 min,"
Comedy, Drama, Musical            ",PG,6.7,"124,754"
Inside Out,(I) (2015),95 min,"
Animation, Adventure, Comedy            ",PG,8.1,"658,008"
The Graduate,(1967),106 min,"
Comedy, Drama, Romance            ",PG,8.0,"264,110"
New Tricks,(2003–2015),60 min,"
Comedy, Crime, Drama            ",None,7.8,"6,286"
Taskmaster,(2015– ),60 min,"
Comedy, Game-Show            ",None,9.0,"9,035"
Toy Story,(1995),81 min,"
Animation, Adventure, Comedy            ",None,8.3,"931,629"
Awkwafina Is Nora from Queens,(2020– ),30 min,"
Comedy            ",None,7.3,"3,786"
The Chair,(2021– ),30 min,"
Comedy, Drama            ",None,7.2,"12,682"
Seed of Chucky,(2004),87 min,"
Comedy, Fantasy, Horror            ",R,4.8,"42,977"
The Office,(2001–2003),30 min,"
Comedy, Drama            ",None,8.5,"104,743"
Scary Movie 3,(2003),84 min,"
Comedy            ",PG-13,5.5,"142,637"
The Ranch,(2016–2020),30 min,"
Comedy, Drama, Western            ",None,7.5,"35,916"
The Neighborhood,(I) (2018– ),30 min,"
Comedy            ",None,6.4,"6,013"
My Name Is Earl,(2005–2009),22 min,"
Comedy            ",None,7.7,"99,183"
Heartbeat,(1992–2010),50 min,"
Drama, Comedy, Crime            ",None,6.8,"3,034"
Cats,(2019),110 min,"
Comedy, Drama, Family            ",PG,2.7,"47,117"
Airplane!,(1980),88 min,"
Comedy            ",None,7.7,"225,678"
Full House,(1987–1995),22 min,"
Comedy, Drama, Family            ",None,6.7,"55,289"
Robin Hood: Men in Tights,(1993),104 min,"
Adventure, Comedy, Musical            ",PG-13,6.7,"121,254"
Sweet Home Alabama,(2002),108 min,"
Comedy, Romance            ",PG-13,6.2,"107,805"
The Final Girls,(2015),91 min,"
Comedy, Drama, Fantasy            ",PG-13,6.6,"43,304"
The Internship,(2013),119 min,"
Comedy            ",PG-13,6.3,"197,516"
The Owl House,(2020– ),22 min,"
Animation, Action, Adventure            ",None,8.2,"6,387"
A Rainy Day in New York,(2019),92 min,"
Comedy, Romance            ",PG-13,6.5,"38,063"
Interstate 60: Episodes of the Road,(2002),116 min,"
Adventure, Comedy, Drama            ",R,7.7,"31,348"
Rushmore,(1998),93 min,"
Comedy, Drama, Romance            ",R,7.7,"177,051"
The Ballad of Buster Scruggs,(2018),133 min,"
Comedy, Drama, Musical            ",R,7.3,"134,452"
Ash vs Evil Dead,(2015–2018),30 min,"
Action, Comedy, Horror            ",None,8.4,"68,636"
Fast Times at Ridgemont High,(1982),90 min,"
Comedy, Drama            ",None,7.2,"100,502"
DC League of Super-Pets,(2022),None,"
Animation, Action, Adventure            ",None,None,None
Big Trouble in Little China,(1986),99 min,"
Action, Adventure, Comedy            ",None,7.3,"132,135"
ParaNorman,(2012),92 min,"
Animation, Adventure, Comedy            ",PG,7.0,"98,827"
Roseanne,(1988–2018),21 min,"
Comedy, Drama            ",None,7.0,"41,508"
Evil Dead II,(1987),84 min,"
Comedy, Horror            ",R,7.7,"155,693"
The Nice Guys,(2016),116 min,"
Action, Comedy, Crime            ",R,7.4,"302,047"
White Chicks,(2004),109 min,"
Comedy, Crime            ",PG-13,5.7,"138,225"
Austin Powers: The Spy Who Shagged Me,(1999),95 min,"
Action, Adventure, Comedy            ",PG-13,6.6,"224,789"
Silver Linings Playbook,(2012),122 min,"
Comedy, Drama, Romance            ",R,7.7,"683,057"
Elf,(2003),97 min,"
Adventure, Comedy, Family            ",PG,7.0,"239,923"
The Mask,(1994),101 min,"
Action, Comedy, Crime            ",PG-13,6.9,"364,701"
Project X,(2012),88 min,"
Comedy            ",R,6.6,"197,802"
Sing 2,(2021),112 min,"
Animation, Adventure, Comedy            ",PG,None,None
On the Rocks,(2020),96 min,"
Comedy, Drama, Romance            ",R,6.5,"28,337"
RED,(2010),111 min,"
Action, Comedy, Crime            ",PG-13,7.0,"299,507"
A Series of Unfortunate Events,(2017–2019),50 min,"
Adventure, Comedy, Drama            ",None,7.8,"57,034"
Le fabuleux destin d'Amélie Poulain,(2001),122 min,"
Comedy, Romance            ",R,8.3,"727,666"
Vivarium,(2019),97 min,"
Comedy, Horror, Mystery            ",R,5.8,"48,554"
Mamma Mia!,(2008),108 min,"
Comedy, Musical, Romance            ",PG-13,6.4,"228,890"
The Witches,(1990),91 min,"
Adventure, Comedy, Family            ",None,6.9,"47,514"
The Great North,(2021– ),21 min,"
Animation, Comedy            ",None,6.5,"2,385"
Imposters,(2017–2018),41 min,"
Comedy, Crime, Drama            ",None,7.8,"12,133"
Isle of Dogs,(2018),101 min,"
Animation, Adventure, Comedy            ",PG-13,7.9,"153,058"
"Crazy, Stupid, Love.",(2011),118 min,"
Comedy, Drama, Romance            ",PG-13,7.4,"493,924"
Napoleon Dynamite,(2004),96 min,"
Comedy            ",PG,6.9,"207,522"
The Mitchells vs the Machines,(2021),113 min,"
Animation, Adventure, Comedy            ",PG,7.7,"77,823"
That's My Boy,(2012),116 min,"
Comedy            ",R,5.5,"95,441"
Hotel Transylvania 2,(2015),89 min,"
Animation, Adventure, Comedy            ",PG,6.7,"116,595"
The Legend of Korra,(2012–2014),23 min,"
Animation, Action, Adventure            ",None,8.4,"112,510"
Shrek,(2001),90 min,"
Animation, Adventure, Comedy            ",PG,7.9,"641,244"
Haikyuu!!,(2014–2020),24 min,"
Animation, Comedy, Drama            ",None,8.7,"17,493"
Tangled,(2010),100 min,"
Animation, Adventure, Comedy            ",PG,7.7,"425,242"
Booksmart,(2019),102 min,"
Comedy            ",R,7.2,"107,552"
Cult of Chucky,(2017),91 min,"
Comedy, Fantasy, Horror            ",R,5.2,"22,913"
Austin Powers: International Man of Mystery,(1997),94 min,"
Adventure, Comedy            ",PG-13,7.0,"230,847"
"Monsters, Inc.",(2001),92 min,"
Animation, Adventure, Comedy            ",G,8.1,"854,958"
History of the World: Part I,(1981),92 min,"
Comedy, History, Musical            ",None,6.9,"47,961"
Notting Hill,(1999),124 min,"
Comedy, Drama, Romance            ",PG-13,7.1,"292,185"
Hook,(1991),142 min,"
Adventure, Comedy, Family            ",None,6.8,"243,839"
The Middle,(2009–2018),22 min,"
Comedy            ",None,7.6,"47,407"
The Little Vampire,(2000),95 min,"
Adventure, Comedy, Family            ",PG,5.8,"10,257"
Asteroid City,(2022),None,"
Comedy, Romance            ",None,None,None
Tropic Thunder,(2008),107 min,"
Action, Comedy, War            ",R,7.0,"396,090"
Spy Kids,(2001),88 min,"
Action, Adventure, Comedy            ",PG,5.5,"113,122"
Night at the Museum,(2006),108 min,"
Adventure, Comedy, Family            ",PG,6.4,"328,990"
The Other Guys,(2010),107 min,"
Action, Comedy, Crime            ",PG-13,6.7,"253,902"
Heathers,(1988),103 min,"
Comedy, Crime            ",None,7.2,"96,571"
The Man from Toronto,(2022),None,"
Action, Comedy, Drama            ",None,None,None
Dodgeball: A True Underdog Story,(2004),92 min,"
Comedy, Sport            ",PG-13,6.7,"238,578"
Midnight in Paris,(2011),94 min,"
Comedy, Fantasy, Romance            ",PG-13,7.7,"404,687"
As Good as It Gets,(1997),139 min,"
Comedy, Drama, Romance            ",PG-13,7.7,"288,385"
Little Miss Sunshine,(2006),101 min,"
Comedy, Drama            ",R,7.8,"456,539"
Hot Fuzz,(2007),121 min,"
Action, Comedy, Mystery            ",R,7.8,"484,144"
Sleepless in Seattle,(1993),105 min,"
Comedy, Drama, Romance            ",PG,6.8,"167,817"
Birdman or (The Unexpected Virtue of Ignorance),(2014),119 min,"
Comedy, Drama            ",R,7.7,"603,530"
"O Brother, Where Art Thou?",(2000),107 min,"
Adventure, Comedy, Crime            ",PG-13,7.7,"299,237"
The Blazing World,(2021),101 min,"
Adventure, Comedy, Fantasy            ",None,4.7,336
Happy Gilmore,(1996),92 min,"
Comedy, Sport            ",PG-13,7.0,"209,818"
Nanatsu no taizai,(2014–2021),24 min,"
Animation, Action, Adventure            ",None,8.0,"27,927"
Russian Doll,(2019– ),30 min,"
Adventure, Comedy, Drama            ",None,7.8,"75,756"
The Mindy Project,(2012–2017),30 min,"
Comedy            ",None,7.4,"30,263"
Freaks and Geeks,(1999–2000),44 min,"
Comedy, Drama            ",None,8.7,"135,636"
The Sandlot,(1993),101 min,"
Comedy, Drama, Family            ",PG,7.8,"85,132"
The Wedding Singer,(1998),97 min,"
Comedy, Music, Romance            ",PG-13,6.9,"142,193"
Logan Lucky,(2017),118 min,"
Action, Comedy, Crime            ",PG-13,7.0,"141,789"
Sseulsseulhago Chalranhashin: Dokkaebi,(2016–2017),60 min,"
Comedy, Drama, Fantasy            ",None,8.6,"15,799"
Boston Legal,(2004–2008),44 min,"
Comedy, Crime, Drama            ",None,8.4,"44,479"
The People Under the Stairs,(1991),102 min,"
Comedy, Horror, Mystery            ",R,6.4,"33,464"
"Signed, Sealed, Delivered",(2014),43 min,"
Comedy, Drama, Mystery            ",None,7.6,"2,246"
Friendzone,(2021),88 min,"
Comedy, Romance            ",None,5.9,"1,735"
Eureka,(2006–2012),60 min,"
Adventure, Comedy, Drama            ",None,7.9,"50,743"
Norsemen,(2016–2020),30 min,"
Comedy            ",None,7.8,"16,515"
